trial,method,detected_time,EDD,ChangeType,ChangeParam,Distribution
135,LL23,232,32.0,ar1,0.1,Gaussian
135,A19,181,-19.0,ar1,0.1,Gaussian
136,Our,207,7.0,ar1,0.1,Gaussian
136,LL23,207,7.0,ar1,0.1,Gaussian
136,A19,213,13.0,ar1,0.1,Gaussian
137,Our,204,4.0,ar1,0.1,Gaussian
137,LL23,219,19.0,ar1,0.1,Gaussian
137,A19,192,-8.0,ar1,0.1,Gaussian
138,Our,210,10.0,ar1,0.1,Gaussian
138,LL23,220,20.0,ar1,0.1,Gaussian
138,A19,142,-58.0,ar1,0.1,Gaussian
139,Our,207,7.0,ar1,0.1,Gaussian
139,LL23,216,16.0,ar1,0.1,Gaussian
139,A19,211,11.0,ar1,0.1,Gaussian
140,Our,207,7.0,ar1,0.1,Gaussian
140,LL23,213,13.0,ar1,0.1,Gaussian
140,A19,208,8.0,ar1,0.1,Gaussian
141,Our,207,7.0,ar1,0.1,Gaussian
141,LL23,206,6.0,ar1,0.1,Gaussian
141,A19,206,6.0,ar1,0.1,Gaussian
142,Our,204,4.0,ar1,0.1,Gaussian
142,LL23,211,11.0,ar1,0.1,Gaussian
142,A19,212,12.0,ar1,0.1,Gaussian
143,Our,206,6.0,ar1,0.1,Gaussian
143,LL23,219,19.0,ar1,0.1,Gaussian
143,A19,215,15.0,ar1,0.1,Gaussian
144,Our,205,5.0,ar1,0.1,Gaussian
144,LL23,211,11.0,ar1,0.1,Gaussian
144,A19,169,-31.0,ar1,0.1,Gaussian
145,Our,208,8.0,ar1,0.1,Gaussian
145,LL23,207,7.0,ar1,0.1,Gaussian
145,A19,194,-6.0,ar1,0.1,Gaussian
146,Our,209,9.0,ar1,0.1,Gaussian
146,LL23,231,31.0,ar1,0.1,Gaussian
146,A19,206,6.0,ar1,0.1,Gaussian
147,Our,204,4.0,ar1,0.1,Gaussian
147,LL23,213,13.0,ar1,0.1,Gaussian
147,A19,208,8.0,ar1,0.1,Gaussian
148,Our,207,7.0,ar1,0.1,Gaussian
148,LL23,227,27.0,ar1,0.1,Gaussian
148,A19,208,8.0,ar1,0.1,Gaussian
149,Our,207,7.0,ar1,0.1,Gaussian
149,LL23,223,23.0,ar1,0.1,Gaussian
149,A19,212,12.0,ar1,0.1,Gaussian
150,Our,208,8.0,ar1,0.1,Gaussian
150,LL23,228,28.0,ar1,0.1,Gaussian
150,A19,213,13.0,ar1,0.1,Gaussian
151,Our,207,7.0,ar1,0.1,Gaussian
151,LL23,223,23.0,ar1,0.1,Gaussian
151,A19,212,12.0,ar1,0.1,Gaussian
152,Our,205,5.0,ar1,0.1,Gaussian
152,LL23,217,17.0,ar1,0.1,Gaussian
152,A19,203,3.0,ar1,0.1,Gaussian
153,Our,206,6.0,ar1,0.1,Gaussian
153,LL23,190,-10.0,ar1,0.1,Gaussian
153,A19,213,13.0,ar1,0.1,Gaussian
154,Our,209,9.0,ar1,0.1,Gaussian
154,LL23,225,25.0,ar1,0.1,Gaussian
154,A19,184,-16.0,ar1,0.1,Gaussian
155,Our,203,3.0,ar1,0.1,Gaussian
155,LL23,222,22.0,ar1,0.1,Gaussian
155,A19,208,8.0,ar1,0.1,Gaussian
156,Our,207,7.0,ar1,0.1,Gaussian
156,LL23,215,15.0,ar1,0.1,Gaussian
156,A19,212,12.0,ar1,0.1,Gaussian
157,Our,207,7.0,ar1,0.1,Gaussian
157,LL23,217,17.0,ar1,0.1,Gaussian
157,A19,210,10.0,ar1,0.1,Gaussian
158,Our,206,6.0,ar1,0.1,Gaussian
158,LL23,211,11.0,ar1,0.1,Gaussian
158,A19,208,8.0,ar1,0.1,Gaussian
159,Our,202,2.0,ar1,0.1,Gaussian
159,LL23,236,36.0,ar1,0.1,Gaussian
159,A19,178,-22.0,ar1,0.1,Gaussian
160,Our,211,11.0,ar1,0.1,Gaussian
160,LL23,221,21.0,ar1,0.1,Gaussian
160,A19,140,-60.0,ar1,0.1,Gaussian
161,Our,205,5.0,ar1,0.1,Gaussian
161,LL23,229,29.0,ar1,0.1,Gaussian
161,A19,206,6.0,ar1,0.1,Gaussian
162,Our,211,11.0,ar1,0.1,Gaussian
162,LL23,225,25.0,ar1,0.1,Gaussian
162,A19,208,8.0,ar1,0.1,Gaussian
163,Our,206,6.0,ar1,0.1,Gaussian
163,LL23,215,15.0,ar1,0.1,Gaussian
163,A19,217,17.0,ar1,0.1,Gaussian
164,Our,206,6.0,ar1,0.1,Gaussian
164,LL23,234,34.0,ar1,0.1,Gaussian
164,A19,214,14.0,ar1,0.1,Gaussian
165,Our,207,7.0,ar1,0.1,Gaussian
165,LL23,227,27.0,ar1,0.1,Gaussian
165,A19,153,-47.0,ar1,0.1,Gaussian
166,Our,204,4.0,ar1,0.1,Gaussian
166,LL23,215,15.0,ar1,0.1,Gaussian
166,A19,218,18.0,ar1,0.1,Gaussian
167,Our,207,7.0,ar1,0.1,Gaussian
167,LL23,217,17.0,ar1,0.1,Gaussian
167,A19,180,-20.0,ar1,0.1,Gaussian
168,Our,204,4.0,ar1,0.1,Gaussian
168,LL23,212,12.0,ar1,0.1,Gaussian
168,A19,212,12.0,ar1,0.1,Gaussian
169,Our,210,10.0,ar1,0.1,Gaussian
169,LL23,213,13.0,ar1,0.1,Gaussian
169,A19,208,8.0,ar1,0.1,Gaussian
170,Our,206,6.0,ar1,0.1,Gaussian
170,LL23,206,6.0,ar1,0.1,Gaussian
170,A19,209,9.0,ar1,0.1,Gaussian
171,Our,205,5.0,ar1,0.1,Gaussian
171,LL23,222,22.0,ar1,0.1,Gaussian
171,A19,158,-42.0,ar1,0.1,Gaussian
172,Our,204,4.0,ar1,0.1,Gaussian
172,LL23,196,-4.0,ar1,0.1,Gaussian
172,A19,207,7.0,ar1,0.1,Gaussian
173,Our,206,6.0,ar1,0.1,Gaussian
173,LL23,209,9.0,ar1,0.1,Gaussian
173,A19,212,12.0,ar1,0.1,Gaussian
174,Our,207,7.0,ar1,0.1,Gaussian
174,LL23,222,22.0,ar1,0.1,Gaussian
174,A19,217,17.0,ar1,0.1,Gaussian
175,Our,206,6.0,ar1,0.1,Gaussian
175,LL23,224,24.0,ar1,0.1,Gaussian
175,A19,212,12.0,ar1,0.1,Gaussian
176,Our,204,4.0,ar1,0.1,Gaussian
176,LL23,209,9.0,ar1,0.1,Gaussian
176,A19,214,14.0,ar1,0.1,Gaussian
177,Our,203,3.0,ar1,0.1,Gaussian
177,LL23,215,15.0,ar1,0.1,Gaussian
177,A19,181,-19.0,ar1,0.1,Gaussian
178,Our,203,3.0,ar1,0.1,Gaussian
178,LL23,228,28.0,ar1,0.1,Gaussian
178,A19,145,-55.0,ar1,0.1,Gaussian
179,Our,206,6.0,ar1,0.1,Gaussian
179,LL23,220,20.0,ar1,0.1,Gaussian
179,A19,188,-12.0,ar1,0.1,Gaussian
180,Our,207,7.0,ar1,0.1,Gaussian
180,LL23,233,33.0,ar1,0.1,Gaussian
180,A19,154,-46.0,ar1,0.1,Gaussian
181,Our,206,6.0,ar1,0.1,Gaussian
181,LL23,215,15.0,ar1,0.1,Gaussian
181,A19,205,5.0,ar1,0.1,Gaussian
182,Our,206,6.0,ar1,0.1,Gaussian
182,LL23,216,16.0,ar1,0.1,Gaussian
