Distribution,FunctionType,WeightFunction,K_Star,ChangeType,ChangeParam,Power,EDD
Gaussian,log,gamma_0.25,350,inflation,1.2,1.0,19.783947501261988
Gaussian,log,gamma_0.45,350,inflation,1.2,1.0,19.41404612159329
Gaussian,log,log,350,inflation,1.2,1.0,44.323
Gaussian,log,gamma_0.0,350,inflation,1.3,1.0,16.1025
Gaussian,log,gamma_0.25,350,inflation,1.3,1.0,12.990408884401818
Gaussian,log,gamma_0.45,350,inflation,1.3,1.0,12.50601150026137
Gaussian,log,log,350,inflation,1.3,1.0,28.7145
Gaussian,log,gamma_0.0,350,inflation,1.4,1.0,12.102051025512756
Gaussian,log,gamma_0.25,350,inflation,1.4,1.0,9.72022301064369
Gaussian,log,gamma_0.45,350,inflation,1.4,1.0,9.316596194503171
Gaussian,log,log,350,inflation,1.4,1.0,21.419
Gaussian,log,gamma_0.0,350,inflation,1.5,1.0,9.874437218609305
Gaussian,log,gamma_0.25,350,inflation,1.5,1.0,7.862854251012146
Gaussian,log,gamma_0.45,350,inflation,1.5,1.0,7.513910761154856
Gaussian,log,log,350,inflation,1.5,1.0,17.3095
Gaussian,log,gamma_0.0,350,ar1,0.1,1.0,5.3675
Gaussian,log,gamma_0.25,350,ar1,0.1,1.0,4.296202531645569
Gaussian,log,gamma_0.45,350,ar1,0.1,1.0,4.0664556962025316
Gaussian,log,log,350,ar1,0.1,1.0,9.159
Gaussian,log,gamma_0.0,350,ar1,0.3,1.0,5.3615
Gaussian,log,gamma_0.25,350,ar1,0.3,1.0,4.284056508577195
Gaussian,log,gamma_0.45,350,ar1,0.3,1.0,4.051335777894185
Gaussian,log,log,350,ar1,0.3,1.0,9.172
Gaussian,log,gamma_0.0,350,ar1,0.5,1.0,5.313156578289145
Gaussian,log,gamma_0.25,350,ar1,0.5,1.0,4.233870967741935
Gaussian,log,gamma_0.45,350,ar1,0.5,1.0,4.02735402419779
Gaussian,log,log,350,ar1,0.5,1.0,9.133
Gaussian,log,gamma_0.0,350,ar1,0.7,1.0,5.424212106053027
Gaussian,log,gamma_0.25,350,ar1,0.7,1.0,4.306215260232441
Gaussian,log,gamma_0.45,350,ar1,0.7,1.0,4.08
Gaussian,log,log,350,ar1,0.7,1.0,9.31
Gaussian,log,gamma_0.0,350,ar1,0.9,1.0,5.571785892946473
Gaussian,log,gamma_0.25,350,ar1,0.9,1.0,4.443825910931174
Gaussian,log,gamma_0.45,350,ar1,0.9,1.0,4.186910994764398
Gaussian,log,log,350,ar1,0.9,1.0,9.7445
Gaussian,log,gamma_0.0,350,spike,2.0,1.0,9.528764382191095
Gaussian,log,gamma_0.25,350,spike,2.0,1.0,7.584638706417382
Gaussian,log,gamma_0.45,350,spike,2.0,1.0,7.222396650968079
Gaussian,log,log,350,spike,2.0,1.0,16.5785
Gaussian,log,gamma_0.0,350,spike,2.5,1.0,9.048548548548549
Gaussian,log,gamma_0.25,350,spike,2.5,1.0,7.206149193548387
Gaussian,log,gamma_0.45,350,spike,2.5,1.0,6.847983453981386
Gaussian,log,log,350,spike,2.5,1.0,15.8625
Gaussian,log,gamma_0.0,350,spike,3.0,1.0,8.5895
Gaussian,log,gamma_0.25,350,spike,3.0,1.0,6.8593829033889735
Gaussian,log,gamma_0.45,350,spike,3.0,1.0,6.538257173219979
Gaussian,log,log,350,spike,3.0,1.0,15.0775
Gaussian,log,gamma_0.0,350,spike,3.5,1.0,8.3335
Gaussian,log,gamma_0.25,350,spike,3.5,1.0,6.62474645030426
Gaussian,log,gamma_0.45,350,spike,3.5,1.0,6.283995815899582
Gaussian,log,log,350,spike,3.5,1.0,14.573
Gaussian,log,gamma_0.0,350,spike,4.0,1.0,8.0625
Gaussian,log,gamma_0.25,350,spike,4.0,1.0,6.4084934277047525
Gaussian,log,gamma_0.45,350,spike,4.0,1.0,6.089016137428422
Gaussian,log,log,350,spike,4.0,1.0,14.1125
Gaussian,log,gamma_0.0,450,inflation,1.1,1.0,63.8664627930683
Gaussian,log,gamma_0.25,450,inflation,1.1,1.0,66.07668231611893
Gaussian,log,gamma_0.45,450,inflation,1.1,1.0,82.9206602768903
Gaussian,log,log,450,inflation,1.1,1.0,104.7705
Gaussian,log,gamma_0.0,450,inflation,1.2,1.0,29.149566105155692
Gaussian,log,gamma_0.25,450,inflation,1.2,1.0,29.17295597484277
Gaussian,log,gamma_0.45,450,inflation,1.2,1.0,33.83162990855298
Gaussian,log,log,450,inflation,1.2,1.0,47.001
Gaussian,log,gamma_0.0,450,inflation,1.3,1.0,18.833672431332655
Gaussian,log,gamma_0.25,450,inflation,1.3,1.0,18.649086161879897
Gaussian,log,gamma_0.45,450,inflation,1.3,1.0,21.09569892473118
Gaussian,log,log,450,inflation,1.3,1.0,30.3125
Gaussian,log,gamma_0.0,450,inflation,1.4,1.0,13.965833758286589
Gaussian,log,gamma_0.25,450,inflation,1.4,1.0,13.687272727272727
Gaussian,log,gamma_0.45,450,inflation,1.4,1.0,15.5343716433942
Gaussian,log,log,450,inflation,1.4,1.0,22.4885
Gaussian,log,gamma_0.0,450,inflation,1.5,1.0,11.446373850868232
Gaussian,log,gamma_0.25,450,inflation,1.5,1.0,11.210581456259822
Gaussian,log,gamma_0.45,450,inflation,1.5,1.0,12.539079229122056
Gaussian,log,log,450,inflation,1.5,1.0,18.084
Gaussian,log,gamma_0.0,450,ar1,0.1,1.0,6.033333333333333
Gaussian,log,gamma_0.25,450,ar1,0.1,1.0,5.857740585774058
Gaussian,log,gamma_0.45,450,ar1,0.1,1.0,6.536545749864645
Gaussian,log,log,450,ar1,0.1,1.0,9.3915
Gaussian,log,gamma_0.0,450,ar1,0.3,1.0,6.062181447502549
Gaussian,log,gamma_0.25,450,ar1,0.3,1.0,5.953621677957269
Gaussian,log,gamma_0.45,450,ar1,0.3,1.0,6.5856
Gaussian,log,log,450,ar1,0.3,1.0,9.468
Gaussian,log,gamma_0.0,450,ar1,0.5,1.0,6.090677534386144
